,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,new norfolk,40.0,AU,1569264081.0,90.0,-42.78,147.06,282.15,5.7
2,rikitea,100.0,PF,1569264081.0,74.0,-23.12,-134.97,293.634,6.93
3,samarai,97.0,PG,1569264081.0,91.0,-10.62,150.67,293.934,1.77
4,andra,99.0,RU,1569264081.0,84.0,62.52,65.89,275.234,5.44
5,beringovskiy,0.0,RU,1569264082.0,60.0,63.05,179.32,270.934,2.39
6,portland,90.0,US,1569263938.0,45.0,43.66,-70.25,304.26,5.1
7,albany,90.0,US,1569263812.0,45.0,42.65,-73.75,303.71,4.6
8,bredasdorp,0.0,ZA,1569264082.0,71.0,-34.53,20.04,284.82,1.5
9,mataura,76.0,NZ,1569264082.0,92.0,-46.19,168.86,278.71,1.79
10,avarua,100.0,CK,1569264082.0,93.0,-21.21,-159.78,292.15,1.5
11,olinda,40.0,AU,1569264082.0,87.0,-37.84,145.39,282.59,3.1
12,kavieng,83.0,PG,1569264082.0,74.0,-2.57,150.8,301.034,2.75
13,punta arenas,90.0,CL,1569264083.0,66.0,-53.16,-70.91,284.15,6.7
14,saldanha,100.0,PT,1569264083.0,44.0,41.42,-6.55,293.934,2.88
15,danes,1.0,US,1569264083.0,40.0,40.76,-86.26,298.15,6.7
16,westport,1.0,US,1569264083.0,61.0,41.14,-73.36,305.37,5.1
17,cape town,0.0,ZA,1569263948.0,77.0,-33.93,18.42,289.26,7.7
18,ushuaia,75.0,AR,1569264083.0,81.0,-54.81,-68.31,281.15,1.92
19,mar del plata,13.0,AR,1569264084.0,39.0,-46.43,-67.52,290.934,11.68
20,vogan,40.0,TG,1569264084.0,88.0,6.33,1.53,299.15,5.1
21,ust-maya,93.0,RU,1569264084.0,94.0,60.42,134.54,274.334,3.02
25,marrakesh,0.0,MA,1569263851.0,27.0,31.63,-7.99,305.15,3.1
26,vaini,20.0,IN,1569264084.0,91.0,15.34,74.49,296.934,0.62
27,lensk,74.0,RU,1569264084.0,81.0,60.71,114.91,272.834,1.08
28,hualmay,74.0,PE,1569264085.0,93.0,-11.1,-77.61,289.434,6.02
29,clyde river,75.0,CA,1569264085.0,86.0,70.47,-68.59,274.15,5.1
30,ulaanbaatar,0.0,MN,1569264085.0,80.0,47.92,106.92,275.15,1.0
31,torbay,90.0,CA,1569263821.0,82.0,47.66,-52.73,291.48,14.4
32,anadyr,40.0,RU,1569264085.0,86.0,64.73,177.51,271.15,5.0
33,san patricio,0.0,PY,1569264085.0,41.0,-26.98,-56.83,299.734,3.08
34,bambous virieux,40.0,MU,1569264085.0,68.0,-20.34,57.76,295.15,8.2
35,mackenzie,90.0,CA,1569264076.0,87.0,55.34,-123.09,279.15,6.7
36,pompeia,0.0,BR,1569264086.0,47.0,-22.11,-50.17,299.15,8.2
37,kenai,1.0,US,1569264086.0,71.0,60.55,-151.26,284.26,7.2
38,saryg-sep,98.0,RU,1569264086.0,44.0,51.49,95.55,285.334,1.39
39,saint-philippe,90.0,CA,1569264086.0,78.0,45.36,-73.48,297.15,2.1
40,byron bay,98.0,AU,1569263725.0,77.0,-28.65,153.62,290.93,3.6
41,atuona,45.0,PF,1569264086.0,79.0,-9.8,-139.03,299.234,7.98
42,gat,0.0,SN,1569264087.0,52.0,14.69,-16.54,307.15,3.39
44,alta floresta,40.0,BR,1569264087.0,52.0,-9.87,-56.08,307.15,1.5
45,barrow,0.0,AR,1569264087.0,48.0,-38.31,-60.23,294.734,7.56
46,bandarbeyla,80.0,SO,1569264087.0,68.0,9.49,50.81,298.234,10.84
47,hilo,90.0,US,1569263946.0,83.0,19.71,-155.08,299.15,3.1
49,broome,40.0,GB,1569264087.0,68.0,52.47,1.45,291.15,5.7
50,yellowknife,75.0,CA,1569263800.0,75.0,62.45,-114.38,280.15,6.2
51,norman wells,75.0,CA,1569264088.0,81.0,65.28,-126.83,280.15,1.5
52,lebu,75.0,ET,1569264088.0,93.0,8.96,38.73,288.15,1.5
53,nikolskoye,75.0,RU,1569264088.0,56.0,59.7,30.79,279.15,4.0
55,puerto baquerizo moreno,90.0,EC,1569264088.0,83.0,-0.9,-89.6,295.15,7.7
56,ishigaki,80.0,JP,1569264088.0,78.0,24.34,124.16,298.634,8.65
57,upernavik,100.0,GL,1569264089.0,86.0,72.79,-56.15,276.334,0.74
58,muli,24.0,CN,1569264089.0,52.0,28.08,109.56,290.234,1.32
59,quatre cocos,40.0,MU,1569264089.0,68.0,-20.21,57.76,295.15,8.2
60,bowen,40.0,AU,1569264089.0,93.0,-20.01,148.25,287.15,1.21
61,gavrilovka vtoraya,93.0,RU,1569264089.0,64.0,52.88,42.77,278.434,5.31
63,margate,40.0,AU,1569264089.0,90.0,-43.03,147.26,282.15,5.7
64,jamestown,0.0,AU,1569264090.0,92.0,-33.21,138.6,276.934,1.43
65,sao joao da barra,75.0,BR,1569264090.0,53.0,-21.64,-41.05,296.15,6.7
66,verkh-usugli,100.0,RU,1569264090.0,75.0,52.7,115.17,276.434,0.41
67,caravelas,100.0,BR,1569264090.0,77.0,-17.73,-39.27,295.734,11.32
68,chuy,0.0,UY,1569264090.0,65.0,-33.69,-53.46,287.334,6.36
69,poum,75.0,MK,1569264090.0,87.0,41.28,20.71,289.15,0.81
70,kapaa,40.0,US,1569264090.0,88.0,22.08,-159.32,302.15,4.1
71,hermanus,0.0,ZA,1569264091.0,85.0,-34.42,19.24,288.15,0.45
72,san cristobal,13.0,HN,1569264091.0,56.0,14.68,-86.92,302.434,1.2
73,vardo,90.0,US,1569264091.0,37.0,39.62,-77.74,307.04,5.1
75,tasiilaq,90.0,GL,1569264091.0,87.0,65.61,-37.64,280.15,13.4
76,saint-joseph,0.0,FR,1569264091.0,77.0,43.56,6.97,295.37,1.0
78,pimenteiras,61.0,BR,1569264092.0,17.0,-6.24,-41.42,311.134,2.24
79,thompson,40.0,CA,1569263824.0,46.0,55.74,-97.86,296.15,4.6
80,grenfell,0.0,AU,1569264092.0,90.0,-33.9,148.16,274.534,0.22
81,gorontalo,4.0,ID,1569263927.0,94.0,0.54,123.06,295.034,1.19
82,puerto ayora,20.0,EC,1569264092.0,61.0,-0.74,-90.35,298.15,8.7
83,nuuk,75.0,GL,1569264092.0,86.0,64.17,-51.74,277.15,3.1
84,juba,98.0,EE,1569264092.0,69.0,57.82,26.93,277.04,2.1
85,hithadhoo,100.0,MV,1569264093.0,81.0,-0.6,73.08,299.134,2.03
86,mitu,0.0,IR,1569264093.0,23.0,36.2,46.09,287.534,3.72
87,springbok,0.0,ZA,1569264093.0,32.0,-29.67,17.88,289.534,5.75
89,zaltan,39.0,LY,1569264093.0,34.0,32.95,11.87,304.634,4.76
90,tiksi,100.0,RU,1569264093.0,96.0,71.64,128.87,275.434,2.57
91,castro,90.0,CL,1569263868.0,81.0,-42.48,-73.76,285.15,4.1
93,bubaque,33.0,GW,1569264094.0,73.0,11.28,-15.83,301.034,3.25
94,luderitz,0.0,NA,1569264094.0,40.0,-26.65,15.16,291.434,15.65
95,ovsyanka,6.0,RU,1569264094.0,71.0,53.58,126.91,277.634,4.37
96,busselton,100.0,AU,1569264094.0,62.0,-33.64,115.35,283.15,4.07
97,lardos,0.0,GR,1569264094.0,56.0,36.09,28.02,296.15,6.7
99,umm lajj,0.0,SA,1569264094.0,75.0,25.02,37.27,302.334,4.38
100,carnarvon,0.0,ZA,1569264095.0,27.0,-30.97,22.13,285.134,7.0
101,koslan,98.0,RU,1569264095.0,96.0,63.46,48.9,272.934,2.47
102,bathsheba,40.0,BB,1569263837.0,88.0,13.22,-59.52,299.15,7.2
103,doha,0.0,QA,1569264095.0,66.0,25.29,51.53,307.15,2.1
104,alice springs,90.0,AU,1569264095.0,50.0,-23.7,133.88,286.15,3.1
105,bethel,90.0,US,1569264095.0,93.0,60.79,-161.76,278.15,5.7
106,khatanga,95.0,RU,1569264096.0,61.0,71.98,102.47,276.434,8.76
107,vao,100.0,EE,1569264096.0,64.0,59.1,26.19,280.634,3.45
108,chifeng,0.0,CN,1569264096.0,33.0,42.27,118.96,286.934,4.51
109,ribeira grande,20.0,PT,1569264096.0,60.0,38.52,-28.7,296.15,6.2
111,hobart,40.0,AU,1569264041.0,90.0,-42.88,147.33,282.15,5.7
112,mountain home,1.0,US,1569264096.0,55.0,43.13,-115.69,292.15,7.7
113,jalingo,31.0,NG,1569264096.0,63.0,10.3,10.93,301.534,3.18
115,sandwick,97.0,GB,1569264097.0,76.0,54.57,-2.89,289.26,3.6
117,saskylakh,95.0,RU,1569264097.0,88.0,71.97,114.09,272.634,3.38
118,port elizabeth,1.0,US,1569264097.0,45.0,39.31,-74.98,307.59,3.1
119,guskhara,100.0,IN,1569264097.0,86.0,23.5,87.75,298.934,3.23
120,tuktoyaktuk,90.0,CA,1569264097.0,93.0,69.44,-133.03,276.15,3.1
121,cayenne,20.0,GF,1569264098.0,59.0,4.94,-52.33,305.15,4.1
122,lata,18.0,IN,1569264098.0,83.0,30.78,78.62,275.434,0.58
124,estacion coahuila,75.0,MX,1569264098.0,49.0,32.19,-115.0,308.71,6.2
125,adre,23.0,TD,1569264098.0,45.0,13.47,22.2,300.434,5.83
127,chokurdakh,83.0,RU,1569264099.0,84.0,70.62,147.9,269.434,2.24
128,tierralta,49.0,CO,1569264099.0,65.0,8.17,-76.06,302.734,1.38
129,buala,100.0,SB,1569264099.0,88.0,-8.15,159.59,298.334,6.13
130,mareeba,75.0,AU,1569264099.0,77.0,-16.99,145.42,294.26,3.1
131,pacific grove,20.0,US,1569264099.0,64.0,36.62,-121.92,298.71,2.6
132,lasa,0.0,CY,1569264099.0,69.0,34.92,32.53,298.15,2.6
133,sibu,75.0,MY,1569264100.0,94.0,2.29,111.83,299.15,1.4
134,mugur-aksy,51.0,RU,1569264100.0,72.0,50.38,90.44,276.934,3.37
135,severo-kurilsk,87.0,RU,1569264100.0,82.0,50.68,156.12,282.334,2.63
136,inhambane,34.0,MZ,1569264100.0,79.0,-23.87,35.38,294.634,5.37
138,mujiayingzi,0.0,CN,1569264100.0,49.0,42.12,118.78,286.234,1.97
139,tahoua,0.0,NE,1569264100.0,17.0,14.89,5.26,310.15,4.1
140,peniche,20.0,PT,1569264072.0,60.0,39.36,-9.38,295.15,3.1
141,kodiak,1.0,US,1569264101.0,54.0,39.95,-94.76,299.15,3.6
143,georgetown,40.0,GY,1569263834.0,70.0,6.8,-58.16,304.15,5.1
144,ranong,98.0,TH,1569264101.0,85.0,9.96,98.62,298.734,2.12
145,bluff,95.0,AU,1569264101.0,78.0,-23.58,149.07,290.134,1.47
147,tieli,0.0,CN,1569264101.0,82.0,46.98,128.05,278.834,1.07
148,pevek,96.0,RU,1569264102.0,79.0,69.7,170.27,274.734,5.9
149,te anau,37.0,NZ,1569264102.0,73.0,-45.41,167.72,276.834,2.87
150,dubai,0.0,AE,1569263407.0,75.0,25.27,55.3,306.15,2.6
151,dosso,98.0,NE,1569264102.0,36.0,13.05,3.19,306.134,1.6
153,itaguai,20.0,BR,1569264027.0,50.0,-22.85,-43.78,298.15,7.7
154,cockburn town,42.0,TC,1569264102.0,70.0,21.46,-71.14,302.534,2.42
155,tura,99.0,RU,1569264102.0,91.0,64.27,100.22,275.034,2.18
156,jumla,38.0,NP,1569264103.0,95.0,29.28,82.18,283.134,1.0
157,klaksvik,100.0,FO,1569264103.0,93.0,62.23,-6.59,285.15,8.7
158,novikovo,0.0,RU,1569264103.0,63.0,51.15,37.89,277.834,2.56
159,talnakh,75.0,RU,1569264103.0,93.0,69.49,88.39,277.15,6.0
160,shibata,23.0,JP,1569264103.0,94.0,37.91,139.43,293.15,5.48
161,oktyabrskiy,75.0,RU,1569264103.0,75.0,55.61,37.97,278.15,6.0
162,cherskiy,100.0,RU,1569264104.0,97.0,68.75,161.3,270.934,1.35
163,ruteng,2.0,ID,1569264104.0,95.0,-8.61,120.46,293.334,1.95
166,baykit,100.0,RU,1569264109.0,91.0,61.68,96.39,280.034,5.97
167,kahului,40.0,US,1569264109.0,66.0,20.89,-156.47,302.15,2.6
168,ostrovnoy,100.0,RU,1569264109.0,88.0,68.05,39.51,274.934,9.78
169,sur,0.0,OM,1569264109.0,70.0,22.57,59.53,300.034,0.72
170,alexandria,95.0,RO,1569263890.0,36.0,43.97,25.33,293.15,1.57
171,passo de camaragibe,75.0,BR,1569264109.0,69.0,-9.24,-35.49,300.15,6.2
173,ahuimanu,90.0,US,1569264110.0,74.0,21.44,-157.84,301.15,5.1
174,butaritari,89.0,KI,1569264110.0,67.0,3.07,172.79,301.934,2.56
175,lompoc,90.0,US,1569264042.0,87.0,34.64,-120.46,299.82,4.1
176,vanavara,30.0,RU,1569264110.0,84.0,60.35,102.28,279.534,3.34
177,port alfred,14.0,ZA,1569264110.0,83.0,-33.59,26.89,287.59,0.89
178,tongliao,0.0,CN,1569263945.0,71.0,43.61,122.27,288.734,6.6
179,ober-ramstadt,20.0,DE,1569264110.0,67.0,49.83,8.75,291.48,4.1
180,victoria point,20.0,AU,1569264111.0,82.0,-27.58,153.3,293.15,3.6
181,brest,35.0,BY,1569264111.0,63.0,52.09,23.69,282.234,4.5
182,san jose,20.0,HN,1569263856.0,55.0,14.25,-87.96,303.15,1.5
183,cizre,0.0,TR,1569264111.0,28.0,37.33,42.19,288.134,0.76
184,kota belud,75.0,MY,1569264111.0,88.0,6.35,116.43,299.26,2.1
185,taoudenni,0.0,ML,1569264111.0,7.0,22.68,-3.98,313.134,2.49
186,maniitsoq,100.0,GL,1569264111.0,81.0,65.42,-52.9,278.034,3.79
187,oistins,40.0,BB,1569263918.0,88.0,13.07,-59.53,299.15,7.2
188,mayumba,92.0,GA,1569264112.0,85.0,-3.44,10.65,298.134,5.07
189,ust-nera,89.0,RU,1569264112.0,95.0,64.57,143.24,270.034,2.59
190,del rio,1.0,US,1569263875.0,44.0,29.36,-100.9,307.15,5.1
191,paamiut,88.0,GL,1569264112.0,68.0,61.99,-49.67,277.834,1.7
192,dikson,100.0,RU,1569264112.0,95.0,73.51,80.55,274.134,13.0
193,aquiraz,20.0,BR,1569264112.0,62.0,-3.9,-38.39,302.15,8.2
194,freeport,40.0,BS,1569264113.0,70.0,26.54,-78.7,302.15,8.7
195,kiruna,88.0,SE,1569264066.0,75.0,67.86,20.23,273.15,1.0
196,katsuura,75.0,JP,1569264113.0,73.0,33.93,134.5,296.15,3.6
197,bejar,14.0,AL,1569264113.0,76.0,40.49,19.83,296.034,5.96
198,ambato,90.0,EC,1569264113.0,52.0,-1.24,-78.63,304.15,2.1
199,weatherford,1.0,US,1569264040.0,46.0,32.76,-97.8,308.71,4.1
200,dicabisagan,3.0,PH,1569264113.0,97.0,17.08,122.42,294.934,1.2
201,vossevangen,0.0,NO,1569264114.0,76.0,60.63,6.42,286.48,0.77
202,fortuna,20.0,US,1569264114.0,63.0,40.6,-124.16,294.26,6.7
203,souillac,0.0,FR,1569264114.0,82.0,45.6,-0.6,293.15,1.5
204,kruisfontein,0.0,ZA,1569264114.0,78.0,-34.0,24.73,284.034,2.49
205,tambun,20.0,ID,1569264114.0,74.0,-6.26,107.07,300.15,4.6
206,batagay,11.0,RU,1569264114.0,87.0,67.65,134.64,272.434,0.74
207,annau,20.0,TM,1569264115.0,52.0,37.89,58.52,293.15,1.0
208,qandala,0.0,SO,1569264115.0,67.0,11.47,49.87,303.934,2.59
209,nyuksenitsa,28.0,RU,1569264115.0,95.0,60.41,44.24,271.334,2.21
210,pangoa,65.0,PE,1569264115.0,80.0,-12.12,-73.0,299.834,1.94
211,rocha,1.0,UY,1569264115.0,54.0,-34.48,-54.34,290.134,3.99
212,eberndorf,75.0,AT,1569264115.0,93.0,46.59,14.64,289.26,0.5
213,srednekolymsk,75.0,RU,1569264116.0,73.0,67.46,153.71,270.834,2.04
214,airai,82.0,TL,1569264116.0,89.0,-8.93,125.41,293.734,1.87
216,chachapoyas,69.0,PE,1569264116.0,56.0,-6.23,-77.87,292.734,1.64
218,whitehorse,20.0,CA,1569264116.0,61.0,60.72,-135.06,281.48,4.1
219,oum hadjer,0.0,TD,1569264116.0,30.0,13.3,19.7,307.534,2.42
220,preston,90.0,GB,1569264116.0,93.0,53.76,-2.71,288.15,5.7
221,sao filipe,20.0,CV,1569264117.0,83.0,14.9,-24.5,300.334,10.94
222,padang,64.0,ID,1569264117.0,85.0,-0.92,100.36,299.134,5.07
