,City,Country
0,tevaitoa,pf
1,sa kaeo,th
2,fortuna,us
3,bilimbay,ru
4,juneau,us
5,krasnoyarsk-66,ru
6,gazojak,tm
7,constitucion,mx
8,cockburn town,tc
9,labuhan,id
10,bilma,ne
11,kendari,id
12,hovd,mn
13,fujin,cn
14,cape coast,gh
15,codrington,ag
16,faya,td
17,tadine,nc
18,ati,td
19,alpena,us
20,los llanos de aridane,es
21,brewster,us
22,makakilo city,us
23,olonets,ru
24,khowai,in
25,dolores,ar
26,arlit,ne
27,severo-kurilsk,ru
28,biu,ng
29,thurso,gb
30,bud,no
31,linkoping,se
32,doctor pedro p. pena,py
33,meulaboh,id
34,novo aripuana,br
35,lere,ng
36,rawson,ar
37,dudinka,ru
38,naze,jp
39,flin flon,ca
40,stokmarknes,no
41,iqaluit,ca
42,sjenica,rs
43,galliate,it
44,klaksvik,fo
45,molango,mx
46,beringovskiy,ru
47,saint-leu,re
48,saint anthony,ca
49,kailua,us
50,coahuayana,mx
51,hof,no
52,avenal,us
53,bahawalpur,pk
54,wamba,cd
55,mandurah,au
56,eyl,so
57,seoul,kr
58,pauini,br
59,rawannawi,ki
60,dibaya,cd
61,tiarei,pf
62,poum,nc
63,nikolskoye,ru
64,salo,fi
65,port elizabeth,za
66,sochaczew,pl
67,huarmey,pe
68,thongwa,mm
69,agua fria,hn
70,ningan,cn
71,hailey,us
72,krasnoselkup,ru
73,victor harbor,au
74,moron,mn
75,neustrelitz,de
76,shetpe,kz
77,thompson,ca
78,sistranda,no
79,kawalu,id
80,castro,cl
81,hervey bay,au
82,husavik,is
83,tahe,cn
84,telde,es
85,matamoros,mx
86,skagastrond,is
87,antofagasta,cl
88,malwan,in
89,pampa,us
90,shelburne,ca
91,barrow,us
92,deh rawud,af
93,port augusta,au
94,turbat,pk
95,sawakin,sd
96,kemijarvi,fi
97,almunecar,es
98,haines junction,ca
99,altyn-topkan,tj
100,katsuura,jp
101,kanniyakumari,in
102,pevek,ru
103,begang,ph
104,velyka mykhaylivka,ua
105,cankuzo,bi
106,stornoway,gb
107,abakan,ru
108,cardinal,ca
109,lovozero,ru
110,pozoblanco,es
111,dong hoi,vn
112,karakose,tr
113,ayios petros,gr
114,magway,mm
115,guekedou,gn
116,albany,au
117,pineville,us
118,hargeysa,so
119,alot,in
120,taolanaro,mg
121,ahuimanu,us
122,rapina,ee
123,yeppoon,au
124,mogadishu,so
125,nome,us
126,monywa,mm
127,casma,pe
128,villa maria,ar
129,vicuna,cl
130,biltine,td
131,bonavista,ca
132,bell ville,ar
133,aras,no
134,tuktoyaktuk,ca
135,santa cruz do sul,br
136,lgov,ru
137,isangel,vu
138,osorno,cl
139,mont-de-marsan,fr
140,saint-gaudens,fr
141,rio grande,br
142,bambous virieux,mu
143,octeville,fr
144,east moline,us
145,vila velha,br
146,poya,nc
147,callaway,us
148,aranos,na
149,arman,ru
150,byron bay,au
151,guerrero negro,mx
152,belogorsk,ru
153,elizabeth city,us
154,salinopolis,br
155,mukhen,ru
156,kaniama,cd
157,moerai,pf
158,monopoli,it
159,rolim de moura,br
160,deputatskiy,ru
161,madang,pg
162,ust-ilimsk,ru
163,puerto escondido,mx
164,guangyuan,cn
165,tomatlan,mx
166,bajil,ye
167,yegros,py
168,daru,pg
169,uttaradit,th
170,sogdiondon,ru
171,uong bi,vn
172,saravan,la
173,muli,mv
174,ahipara,nz
175,dzhusaly,kz
176,djambala,cg
177,abatskoye,ru
178,maumere,id
179,sao felix do xingu,br
180,altay,cn
181,acapulco,mx
182,saint-pierre,re
183,dongli,cn
184,tilichiki,ru
185,mwene-ditu,cd
186,kapaa,us
187,concordia,br
188,mataura,pf
189,duz,tn
190,ginir,et
191,birin,dz
192,de-kastri,ru
193,oudtshoorn,za
194,alta floresta,br
195,aviles,es
196,koslan,ru
197,ostrovnoy,ru
198,batemans bay,au
199,samalaeulu,ws
200,anadyr,ru
201,salalah,om
202,yar-sale,ru
203,terney,ru
204,khatanga,ru
205,ronda,es
206,chake chake,tz
207,le port,re
208,ngukurr,au
209,yigou,cn
210,lyubech,ua
211,puerto carreno,co
212,avera,pf
213,georgetown,sh
214,fort nelson,ca
215,sucha beskidzka,pl
216,leshukonskoye,ru
217,morrisburg,ca
218,provideniya,ru
219,capreol,ca
220,canon city,us
221,viedma,ar
