,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,cape town,0.0,ZA,2019-09-25 02:25:29,81.0,-33.93,18.42,62.01,3.36
1,saint-philippe,90.0,CA,2019-09-25 02:28:01,93.0,45.36,-73.48,57.99,5.82
2,bethel,90.0,US,2019-09-25 02:28:02,66.0,60.79,-161.76,51.8,20.8
3,rikitea,0.0,PF,2019-09-25 02:28:02,65.0,-23.12,-134.97,71.09,3.18
4,hofn,100.0,IS,2019-09-25 02:28:02,99.0,64.25,-15.21,39.95,2.44
5,coahuayana,100.0,MX,2019-09-25 02:28:02,90.0,18.62,-100.35,73.97,2.15
6,geraldton,75.0,CA,2019-09-25 02:28:02,72.0,49.72,-86.95,59.0,6.93
7,kapaa,40.0,US,2019-09-25 02:28:02,70.0,22.08,-159.32,84.2,5.82
8,kaitangata,100.0,NZ,2019-09-25 02:28:03,72.0,-46.28,169.85,41.0,10.0
9,hilo,1.0,US,2019-09-25 02:26:35,62.0,19.71,-155.08,84.2,4.7
10,victoria,75.0,BN,2019-09-25 02:28:03,49.0,5.28,115.24,91.4,13.87
11,hobart,75.0,AU,2019-09-25 02:27:49,46.0,-42.88,147.33,57.0,9.17
12,inirida,27.0,CO,2019-09-25 02:28:03,92.0,3.87,-67.92,73.25,1.86
13,esperance,0.0,AU,2019-09-25 02:28:03,35.0,-33.86,121.89,71.6,9.17
14,lagoa,0.0,PT,2019-09-25 02:28:03,77.0,37.14,-8.45,69.8,6.93
15,macae,75.0,BR,2019-09-25 02:28:04,77.0,-22.37,-41.79,62.6,2.24
16,beringovskiy,9.0,RU,2019-09-25 02:28:04,59.0,63.05,179.32,39.41,9.04
17,albany,75.0,US,2019-09-25 02:23:45,67.0,42.65,-73.75,61.0,6.93
18,port alfred,70.0,ZA,2019-09-25 02:28:04,77.0,-33.59,26.89,53.01,4.0
20,nemuro,20.0,JP,2019-09-25 02:28:04,55.0,43.32,145.57,60.8,12.75
21,qaanaaq,76.0,GL,2019-09-25 02:28:04,86.0,77.48,-69.36,19.79,7.2
22,margate,75.0,AU,2019-09-25 02:28:04,46.0,-43.03,147.26,57.0,9.17
23,ilave,0.0,PE,2019-09-25 02:28:05,79.0,-16.09,-69.64,44.81,3.18
24,samarai,41.0,PG,2019-09-25 02:28:05,72.0,-10.62,150.67,79.91,9.86
27,vaini,75.0,IN,2019-09-25 02:28:05,94.0,15.34,74.49,71.6,1.95
28,kudahuvadhoo,100.0,MV,2019-09-25 02:28:05,73.0,2.67,72.89,80.63,4.09
29,yellowknife,75.0,CA,2019-09-25 02:26:22,80.0,62.45,-114.38,41.0,4.7
30,ust-kuyga,99.0,RU,2019-09-25 02:28:05,74.0,70.0,135.55,36.89,3.6
31,faya,0.0,SA,2019-09-25 02:28:06,67.0,18.39,42.45,64.4,0.54
32,rawson,35.0,AR,2019-09-25 02:28:06,50.0,-43.3,-65.11,61.19,7.16
34,sorland,0.0,NO,2019-09-25 02:28:06,54.0,67.67,12.69,50.39,4.09
35,ribeira grande,0.0,PT,2019-09-25 02:28:06,69.0,38.52,-28.7,70.37,10.78
36,iranshahr,40.0,IR,2019-09-25 02:28:06,58.0,27.21,60.69,84.2,4.7
37,bluff,0.0,AU,2019-09-25 02:28:06,33.0,-23.58,149.07,82.43,11.16
38,nikolskoye,0.0,RU,2019-09-25 02:28:07,80.0,59.7,30.79,39.99,4.47
40,pedernales,67.0,EC,2019-09-25 02:28:07,90.0,0.07,-80.05,73.25,16.33
41,chuy,0.0,UY,2019-09-25 02:28:07,90.0,-33.69,-53.46,53.09,5.93
42,arraial do cabo,70.0,BR,2019-09-25 02:28:07,73.0,-22.97,-42.02,67.31,20.04
43,barrow,9.0,AR,2019-09-25 02:28:07,54.0,-38.31,-60.23,51.83,1.59
44,kabwe,22.0,ZM,2019-09-25 02:28:07,39.0,-14.44,28.44,66.59,10.6
45,avarua,59.0,CK,2019-09-25 02:28:07,69.0,-21.21,-159.78,73.4,14.99
46,grand gaube,75.0,MU,2019-09-25 02:28:08,88.0,-20.01,57.66,71.6,8.05
47,chapais,1.0,CA,2019-09-25 02:28:08,87.0,49.78,-74.86,48.2,6.93
48,sitka,33.0,US,2019-09-25 02:28:08,77.0,37.17,-99.65,77.0,11.99
49,upernavik,100.0,GL,2019-09-25 02:28:08,84.0,72.79,-56.15,35.99,11.41
