City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
selfoss,75,IS,1569209652,81,63.94,-21,284.15,8.2
wattegama,87,LK,1569209653,71,7.35,80.68,299.9,2.18
albany,40,US,1569209462,69,42.65,-73.75,297.15,3.6
geraldton,90,CA,1569209653,71,49.72,-86.95,287.15,3.1
muros,75,ES,1569209653,93,42.77,-9.06,292.04,5.1
jamestown,14,AU,1569209653,49,-33.21,138.6,287.5,4.95
chokurdakh,0,RU,1569209653,61,70.62,147.9,274.3,4.39
peace river,75,CA,1569209654,87,56.23,-117.29,283.15,3.6
katsuura,75,JP,1569209654,58,33.93,134.5,303.15,7.2
liverpool,20,GB,1569209380,100,53.41,-2.98,288.15,2.6
ponte de sor,97,PT,1569209654,100,39.25,-8.01,287.59,0.79
hermanus,33,ZA,1569209654,68,-34.42,19.24,283.15,1.34
pundaguitan,57,PH,1569209654,71,6.37,126.17,301.2,3.02
longyearbyen,75,NO,1569209655,85,78.22,15.63,273.15,2.1
hilo,90,US,1569209655,66,19.71,-155.08,303.15,4.6
rikitea,5,PF,1569209655,80,-23.12,-134.97,293.5,8.99
hithadhoo,95,MV,1569209655,74,-0.6,73.08,300.9,6.69
amderma,,,,,,,,
half moon bay,90,US,1569209655,93,37.46,-122.43,292.59,1.5
attawapiskat,,,,,,,,
barrow,0,AR,1569209656,49,-38.31,-60.23,281.5,5.11
vaini,40,IN,1569209641,83,15.34,74.49,297.15,2.1
ushuaia,75,AR,1569209656,65,-54.81,-68.31,280.15,2.1
illoqqortoormiut,,,,,,,,
cape town,0,ZA,1569209634,62,-33.93,18.42,286.48,5.1
boali,100,CF,1569209656,100,4.81,18.11,295.15,1.81
avarua,100,CK,1569209656,88,-21.21,-159.78,292.15,4.6
jalu,0,LY,1569209656,65,29.03,21.55,291.6,3.13
punta arenas,75,CL,1569209461,86,-53.16,-70.91,278.15,4.1
san patricio,0,PY,1569209657,62,-26.98,-56.83,286.8,3.9
puerto ayora,18,EC,1569209657,90,-0.74,-90.35,292.59,2.68
atuona,14,PF,1569209657,78,-9.8,-139.03,299.9,8.31
qui nhon,,,,,,,,
prince rupert,90,CA,1569209657,87,54.32,-130.32,284.15,2.1
mataura,54,NZ,1569209601,60,-46.19,168.86,286.48,4.92
faya,0,SA,1569209657,26,18.39,42.45,289.15,0.28
yellowknife,75,CA,1569209658,93,62.45,-114.38,284.82,3.6
kahului,90,US,1569209658,94,20.89,-156.47,303.15,4.1
lompoc,1,US,1569209658,87,34.64,-120.46,294.26,3.1
new norfolk,75,AU,1569209658,54,-42.78,147.06,286.48,4.6
grand river south east,,,,,,,,
abha,0,SA,1569209658,26,18.22,42.5,289.15,1.39
brainerd,1,US,1569209459,87,46.36,-94.2,286.15,2.45
saldanha,100,PT,1569209659,79,41.42,-6.55,285.8,0.71
mahenge,0,TZ,1569209659,81,-8.68,36.72,293.2,2.73
beringovskiy,100,RU,1569209659,47,63.05,179.32,276.2,5.41
george town,75,MY,1569209659,74,5.42,100.33,304.15,1.5
pandan,0,PH,1569209659,76,11.72,122.09,300.5,1.74
bredasdorp,67,ZA,1569209619,81,-34.53,20.04,281.15,2.1
provideniya,40,RU,1569209660,60,64.42,-173.23,279.15,5
port lincoln,38,AU,1569209660,64,-34.72,135.86,286.1,4.84
kavieng,100,PG,1569209660,70,-2.57,150.8,301.5,0.96
ancud,1,CL,1569209660,100,-41.87,-73.83,275.15,1.5
praia,0,BR,1569209626,68,-20.25,-43.81,295.15,3.1
tuktoyaktuk,90,CA,1569209660,93,69.44,-133.03,277.15,4.1
taolanaro,,,,,,,,
puerto colombia,20,CO,1569209660,78,10.99,-74.96,301.15,1
miri,15,NG,1569209661,78,10.31,9.75,295.3,1.47
kapaa,1,US,1569209602,74,22.08,-159.32,304.15,4.1
voznesenskaya,0,RU,1569209661,56,44.55,41.03,280.8,3.07
bonfim,0,BR,1569209661,68,-20.33,-44.24,295.15,3.1
sorong,86,ID,1569209661,58,-0.86,131.25,304.3,3.18
tiksi,100,RU,1569209661,96,71.64,128.87,276,2.49
uyuni,48,BO,1569209662,34,-20.46,-66.82,285,1.62
sinjah,,,,,,,,
tautira,20,PF,1569209662,58,-17.73,-149.15,302.15,7.7
walvis bay,0,NA,1569209662,87,-22.95,14.51,285.93,1.5
bandarbeyla,17,SO,1569209662,77,9.49,50.81,295.9,8.28
talnakh,0,RU,1569209645,64,69.49,88.39,276.15,14
airai,3,TL,1569209662,52,-8.93,125.41,302.1,2.76
bluff,69,AU,1569209663,31,-23.58,149.07,301.3,3.13
hofn,100,IS,1569209663,99,64.25,-15.21,277.6,1.32
vestmannaeyjar,81,IS,1569209663,89,63.44,-20.27,283.7,10.55
coahuayana,25,MX,1569209663,89,18.62,-100.35,296.3,0.65
butaritari,100,KI,1569209663,62,3.07,172.79,302.5,3.4
dikson,97,RU,1569209629,92,73.51,80.55,276,0.52
krasnoarmeysk,90,RU,1569209664,86,56.12,38.15,277.15,6
somerset,75,US,1569209615,88,41.77,-71.13,293.71,2.6
fortuna,90,US,1569209664,100,40.6,-124.16,289.26,5.1
obo,0,CF,1569209664,89,5.39,26.49,293.4,0.31
