City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed
jamestown,0,AU,1569273521,89,-33.21,138.6,277.212,277.212,1.59
bluff,100,AU,1569273418,39,-23.58,149.07,292.612,292.612,3.66
gurupa,,,,,,,,,
kodiak,1,US,1569273637,51,39.95,-94.76,300.15,298.15,4.1
punta arenas,75,CL,1569273616,87,-53.16,-70.91,283.15,283.15,4.6
rapid valley,1,US,1569273732,36,44.06,-103.15,300.37,294.26,2.1
grand river south east,,,,,,,,,
khonuu,,,,,,,,,
dunda,3,IN,1569273733,86,30.62,78.32,291.112,291.112,1.94
kungurtug,100,RU,1569273733,48,50.6,97.53,281.212,281.212,1.99
cidreira,3,BR,1569273636,63,-30.17,-50.22,288.312,288.312,6.07
pangnirtung,20,CA,1569273733,86,66.15,-65.72,277.15,277.15,6.7
sistranda,0,NO,1569273733,87,63.73,8.83,284.26,283.15,4.1
hilo,75,US,1569273644,62,19.71,-155.08,303.15,295.37,4.1
qaanaaq,100,GL,1569273632,76,77.48,-69.36,271.212,271.212,1.65
vila velha,20,BR,1569273733,74,-3.71,-38.6,300.15,300.15,4.1
kondinskoye,100,RU,1569273734,75,59.65,67.41,274.512,274.512,4.7
dien bien,,,,,,,,,
carnarvon,0,ZA,1569273646,34,-30.97,22.13,282.812,282.812,7.78
mehamn,75,NO,1569273734,80,71.03,27.85,278.15,277.15,8.7
albany,75,US,1569273556,51,42.65,-73.75,302.04,294.26,3.6
amderma,,,,,,,,,
muisne,75,EC,1569273734,83,0.61,-80.02,301.15,301.15,4.1
atambua,0,ID,1569273642,80,-9.11,124.89,298.412,298.412,4.3
kazalinsk,,,,,,,,,
ankang,70,CN,1569273734,77,32.73,108.99,285.712,285.712,0.84
salinopolis,47,BR,1569273734,81,-0.61,-47.36,300.112,300.112,7.8
rorvik,0,NO,1569273612,87,64.86,11.24,279.82,279.15,1.5
cape town,0,ZA,1569273332,77,-33.93,18.42,288.71,288.15,6.2
busselton,67,AU,1569273630,67,-33.64,115.35,280.37,280.37,5.57
hermanus,0,ZA,1569273637,93,-34.42,19.24,287.59,282.04,0.45
kodinsk,82,RU,1569273735,76,58.6,99.18,283.712,283.712,4.26
sentyabrskiy,,,,,,,,,
sandviken,93,SE,1569273735,66,60.62,16.77,282.04,280.93,1.34
kota belud,75,MY,1569273735,88,6.35,116.43,299.15,298.71,2.6
taolanaro,,,,,,,,,
leh,0,IN,1569273735,21,34.16,77.58,274.612,274.612,0.39
black river,40,JM,1569273735,79,18.03,-77.85,302.15,302.15,4.1
mataura,100,NZ,1569273637,93,-46.19,168.86,279.26,279.26,3.13
ushuaia,75,AR,1569273635,81,-54.81,-68.31,281.15,280.15,3.01
teya,75,MX,1569273735,66,21.05,-89.07,304.82,304.15,6.2
castro,75,CL,1569273632,76,-42.48,-73.76,286.15,286.15,3.6
chokurdakh,100,RU,1569273662,81,70.62,147.9,270.212,270.212,1.68
bubaque,0,GW,1569273736,74,11.28,-15.83,301.112,301.112,4.28
lata,2,IN,1569273634,88,30.78,78.62,274.612,274.612,1
atuona,0,PF,1569273631,78,-9.8,-139.03,299.412,299.412,8.38
belushya guba,,,,,,,,,
illoqqortoormiut,,,,,,,,,
khatanga,100,RU,1569273644,63,71.98,102.47,276.412,276.412,7.11
chingirlau,0,KZ,1569273736,77,51.09,54.08,277.612,277.612,4.57
one hundred mile house,,,,,,,,,
lae,100,PG,1569273736,95,-6.72,146.98,294.712,294.712,0.23
esperance,100,AU,1569273651,81,-33.86,121.89,282.15,282.15,7.7
barentsburg,,,,,,,,,
yuli,75,CN,1569273736,83,24.82,106.77,286.312,286.312,0.67
bengkulu,,,,,,,,,
saleaula,,,,,,,,,
gizycko,20,PL,1569273737,67,54.04,21.76,278.912,278.912,3.81
san quintin,0,PH,1569273662,92,17.54,120.52,295.712,295.712,1.54
gangapur,84,IN,1569273737,90,19.7,75.01,296.612,296.612,3.07
codrington,14,AU,1569273737,100,-28.95,153.24,292.15,287.15,1.64
nikolskoye,0,RU,1569273639,60,59.7,30.79,278.15,274.26,3
chuy,0,UY,1569273633,75,-33.69,-53.46,285.712,285.712,5.99
pacifica,1,US,1569273737,39,37.61,-122.49,301.15,294.82,3.6
vaini,100,IN,1569273641,92,15.34,74.49,296.412,296.412,0.51
pasighat,100,IN,1569273648,99,28.06,95.33,291.012,291.012,1.15
gogapur,100,IN,1569273737,95,23.55,75.52,296.612,296.612,2.45
puerto ayora,20,EC,1569273630,61,-0.74,-90.35,298.15,293.71,8.2
ancud,75,CL,1569273643,76,-41.87,-73.83,286.15,286.15,3.6
cairns,40,AU,1569273670,78,-16.92,145.77,295.37,289.82,8.2
havoysund,75,NO,1569273738,65,71,24.66,278.15,277.15,5.1
shaunavon,44,CA,1569273738,42,49.65,-108.41,293.112,293.112,5.74
butaritari,0,KI,1569273631,69,3.07,172.79,302.212,302.212,4.31
mapiripan,73,CO,1569273738,53,2.89,-72.13,305.312,305.312,2.08
saint-philippe,90,CA,1569273658,83,45.36,-73.48,297.15,294.15,4.1
rikitea,68,PF,1569273629,74,-23.12,-134.97,293.812,293.812,7.33
namibe,78,AO,1569273738,85,-15.19,12.15,293.012,293.012,1.34
samusu,,,,,,,,,
upernavik,100,GL,1569273631,97,72.79,-56.15,275.412,275.412,1.37
