,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,fortuna,1,US,2019-09-26 15:36:26,100,40.6,-124.16,55,20.09
1,leningradskiy,0,RU,2019-09-26 15:33:59,72,69.38,178.42,25.33,7.02
2,upernavik,100,GL,2019-09-26 15:33:54,58,72.79,-56.15,37.03,8.48
3,mataura,74,NZ,2019-09-26 15:33:33,81,-46.19,168.86,48,15.01
4,ushuaia,75,AR,2019-09-26 15:31:39,92,-54.81,-68.31,50,13.87
5,hermanus,0,ZA,2019-09-26 15:33:27,55,-34.42,19.24,70.69,4.25
6,nikolskoye,40,RU,2019-09-26 15:33:40,76,59.7,30.79,48.99,6.71
7,rikitea,41,PF,2019-09-26 15:33:23,73,-23.12,-134.97,71.23,10.18
8,karratha,6,AU,2019-09-26 15:31:47,73,-20.74,116.85,64.75,7.67
9,hilo,1,US,2019-09-26 15:33:29,69,19.71,-155.08,75.2,3.36
10,taolanaro,,,,,,,,
11,longyearbyen,75,NO,2019-09-26 15:34:29,87,78.22,15.63,42.8,16.11
12,tiksi,100,RU,2019-09-26 15:33:45,98,71.64,128.87,35.05,2.93
13,tondano,20,ID,2019-09-26 15:36:27,88,1.3,124.91,75.2,3.36
14,svirstroy,100,RU,2019-09-26 15:36:27,97,60.8,33.72,41.35,4.29
15,poum,75,MK,2019-09-26 15:36:27,77,41.28,20.71,66.2,8.05
16,flinders,72,AU,2019-09-26 15:32:08,100,-34.58,150.85,62.01,5.82
17,berlevag,75,NO,2019-09-26 15:34:23,87,70.86,29.09,44.6,12.75
18,hobart,100,AU,2019-09-26 15:33:47,66,-42.88,147.33,54,9.17
19,illoqqortoormiut,,,,,,,,
20,bluff,0,AU,2019-09-26 15:33:24,90,-23.58,149.07,60.43,8.68
21,puerto del rosario,20,ES,2019-09-26 15:36:27,69,28.5,-13.86,82.4,13.87
22,khatanga,100,RU,2019-09-26 15:34:06,97,71.98,102.47,33.25,9.13
23,ulladulla,100,AU,2019-09-26 15:32:26,100,-35.36,150.48,53.01,5.82
24,port alfred,0,ZA,2019-09-26 15:33:30,77,-33.59,26.89,64.99,1.01
25,lebu,10,ET,2019-09-26 15:32:22,79,8.96,38.73,61.15,6.8
26,ostrovnoy,91,RU,2019-09-26 15:34:12,85,68.05,39.51,37.93,14.25
27,new norfolk,100,AU,2019-09-26 15:31:57,66,-42.78,147.06,54,9.17
28,castro,0,CL,2019-09-26 15:33:26,59,-42.48,-73.76,60.8,8.05
29,hasanabad,20,IR,2019-09-26 15:36:28,11,35.37,51.24,87.8,4.7
30,surt,0,LY,2019-09-26 15:36:28,74,31.21,16.59,78.97,12.12
31,vaini,75,IN,2019-09-26 15:33:25,100,15.34,74.49,69.8,9.17
32,vaitupu,,,,,,,,
33,high level,75,CA,2019-09-26 15:36:28,86,58.52,-117.13,33.8,3.36
34,barrow,0,AR,2019-09-26 15:33:26,51,-38.31,-60.23,67.27,12.5
35,puerto ayora,75,EC,2019-09-26 15:33:39,73,-0.74,-90.35,73.4,10.29
36,umm lajj,0,SA,2019-09-26 15:36:28,74,25.02,37.27,84.19,11.36
