City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
jamestown,12,AU,1569032736,49,-33.21,138.6,286.86,7.78
avarua,76,CK,1569032728,57,-21.21,-159.78,297.15,3.6
rikitea,83,PF,1569032723,89,-23.12,-134.97,296.66,6.6
rundu,0,NA,1569033211,16,-17.91,19.77,293.15,1.5
nizhniy kuranakh,100,RU,1569033212,91,58.84,125.49,275.86,1.89
sao filipe,98,CV,1569032755,84,14.9,-24.5,299.56,5.82
cayenne,0,GF,1569033212,83,4.94,-52.33,300.15,1.61
zheleznodorozhnyy,20,RU,1569033212,86,55.75,38,278.15,3
tiksi,93,RU,1569032455,88,71.64,128.87,276.86,3.09
pevek,100,RU,1569032725,79,69.7,170.27,274.06,8.18
hobart,75,AU,1569032725,77,-42.88,147.33,292.04,3.6
cockburn harbour,,,,,,,,
ponta do sol,36,BR,1569032744,29,-20.63,-46,295.96,1.12
punta arenas,20,CL,1569032726,80,-53.16,-70.91,274.15,9.8
kapaa,75,US,1569032723,83,22.08,-159.32,304.15,6.7
ushuaia,90,AR,1569032727,93,-54.81,-68.31,273.15,9.3
east london,0,ZA,1569032726,71,-33.02,27.91,287.76,2.29
mana,54,NG,1569033213,80,13.03,5.27,298.76,3.94
matara,100,BI,1569033213,73,-3.48,29.48,284.76,0.72
taolanaro,,,,,,,,
joshimath,24,IN,1569033213,48,30.57,79.57,289.36,0.98
mujiayingzi,0,CN,1569033213,38,42.12,118.78,290.46,2.51
thai binh,0,VN,1569033213,58,20.45,106.33,302.15,6.7
dhamnod,98,IN,1569033214,81,23.44,74.97,299.66,2.16
constitucion,90,MX,1569033214,72,23.99,-104.67,292.04,2.1
upernavik,100,GL,1569032734,51,72.79,-56.15,275.86,1.23
chokurdakh,0,RU,1569032724,55,70.62,147.9,275.36,3
yagodnoye,44,RU,1569033214,55,62.52,149.63,278.66,1.32
bouna,28,CI,1569033214,98,9.27,-3,294.66,1.73
padang,23,ID,1569032757,83,-0.92,100.36,299.66,7.85
westport,1,US,1569032944,68,41.14,-73.36,292.04,1.5
general pico,0,AR,1569033214,24,-35.66,-63.75,281.66,3.39
isangel,40,VU,1569032753,51,-19.55,169.27,300.15,7.2
nikolskoye,75,RU,1569032722,80,59.7,30.79,278.15,2.15
adrar,0,DZ,1569033215,18,27.87,-0.29,305.15,2.16
hermanus,72,ZA,1569032730,90,-34.42,19.24,287.59,9.02
longyearbyen,40,NO,1569032744,69,78.22,15.63,274.15,4.6
yumen,98,CN,1569033215,18,40.29,97.04,293.86,4.12
gazli,0,UZ,1569033215,28,40.13,63.45,295.26,4.14
vao,100,EE,1569032729,93,59.1,26.19,279.26,3.68
baghdad,0,IQ,1569033215,44,33.3,44.38,299.15,0.5
lebu,100,ET,1569032737,86,8.96,38.73,284.26,0.8
college,90,US,1569033010,81,64.86,-147.8,284.15,2.1
hilo,20,US,1569032723,69,19.71,-155.08,301.15,2.6
chhatarpur,56,IN,1569033216,78,24.92,79.59,300.76,1.88
severnoye,100,RU,1569033216,91,54.09,52.54,278.66,2.57
castro,90,CL,1569032734,100,-42.48,-73.76,280.15,3.1
basco,1,US,1569032760,74,40.33,-91.2,300.15,4.1
verkhnevilyuysk,49,RU,1569033216,70,63.45,120.31,281.16,2.77
parkes,100,AU,1569032736,59,-33.14,148.18,294.26,0.89
puerto ayora,0,EC,1569032726,86,-0.74,-90.35,292.59,3.13
bengkulu,,,,,,,,
umm kaddadah,100,SD,1569033216,56,13.6,26.69,300.26,6.21
kambove,83,CD,1569033216,44,-10.88,26.6,287.36,2.74
yerbogachen,100,RU,1569033217,87,61.28,108.01,286.46,5.72
duz,,,,,,,,
vaini,40,IN,1569032732,94,15.34,74.49,294.15,4.1
hithadhoo,46,MV,1569032732,73,-0.6,73.08,300.96,4.65
naze,47,NG,1569032757,96,5.43,7.07,296.46,1.25
barcelos,2,BR,1569032754,72,-0.97,-62.93,300.06,0.15
klaksvik,0,FO,1569033043,93,62.23,-6.59,284.15,3.1
utraula,0,IN,1569033217,71,27.32,82.42,301.16,1.89
belushya guba,,,,,,,,
cherskiy,100,RU,1569032748,68,68.75,161.3,274.06,4.52
sioux lookout,75,CA,1569033217,88,50.1,-91.92,292.15,4.6
fortuna,20,US,1569033070,82,40.6,-124.16,291.48,5.7
gambela,100,ET,1569033218,93,8.25,34.59,292.26,1.57
pangnirtung,100,CA,1569032767,98,66.15,-65.72,273.16,0.84
dwarka,40,IN,1569033218,78,28.58,77.04,301.15,2.19
tuatapere,0,NZ,1569032749,69,-46.13,167.69,286.48,4.47
bethel,75,US,1569032727,57,60.79,-161.76,282.15,8.2
saint-philippe,1,CA,1569033024,68,45.36,-73.48,293.15,4.1
severo-kurilsk,67,RU,1569032723,87,50.68,156.12,282.76,7.36
kununurra,0,AU,1569033218,19,-15.77,128.74,306.15,2.6
samusu,,,,,,,,
victor harbor,40,AU,1569033219,58,-35.55,138.62,287.59,8.7
albany,20,US,1569032616,77,42.65,-73.75,289.26,1.68
barentsburg,,,,,,,,
yellowknife,75,CA,1569032742,87,62.45,-114.38,282.15,3.6
hofn,100,IS,1569032751,99,64.25,-15.21,276.46,2.42
diapaga,99,BF,1569033219,78,12.07,1.79,296.96,2.06
cape town,40,ZA,1569032535,82,-33.93,18.42,288.71,2.6
eenhana,0,NA,1569033045,15,-17.48,16.34,289.76,2.78
namikupa,73,MZ,1569032740,94,-10.84,39.63,292.66,1.05
vostok,100,RU,1569032758,97,46.45,135.83,279.66,0.59
calama,0,CL,1569033219,8,-22.46,-68.93,284.26,3.6
busselton,60,AU,1569032724,35,-33.64,115.35,290.93,3.34
breves,85,BR,1569033220,95,-1.68,-50.48,296.06,1.86
atuona,11,PF,1569032722,75,-9.8,-139.03,300.16,7.5
butaritari,53,KI,1569032730,66,3.07,172.79,302.36,6
vestmanna,0,FO,1569032757,93,62.16,-7.17,284.15,3.1
leningradskiy,100,RU,1569033220,97,69.38,178.42,273.66,9.48
sovetskiy,100,RU,1569033220,95,56.76,48.47,278.06,2.68
andevoranto,,,,,,,,
arraial do cabo,40,BR,1569032739,94,-22.97,-42.02,296.15,4.1
inta,86,RU,1569033220,87,66.04,60.13,274.06,6.37
camacha,40,PT,1569033150,83,33.08,-16.33,295.15,3.1
amuntai,0,ID,1569033220,35,-2.42,115.25,312.06,0.28
tapaua,,,,,,,,
cabo san lucas,90,MX,1569032696,88,22.89,-109.91,301.48,6.2
along,100,IN,1569033221,85,28.17,94.8,289.86,0.95
kaeo,67,NZ,1569032750,66,-35.1,173.78,294.82,1.6
ambilobe,0,MG,1569033221,71,-13.19,49.05,291.16,2.56
katherine,40,AU,1569032486,42,-14.47,132.26,303.15,3.1
atbasar,74,KZ,1569033221,58,51.81,68.36,284.16,2.21
vestmannaeyjar,100,IS,1569032741,93,63.44,-20.27,283.56,15.81
ixtapa,75,MX,1569033221,66,20.71,-105.21,302.15,5.97
boditi,94,ET,1569033222,87,6.95,37.86,289.76,1.02
watsa,99,CD,1569033222,98,3.04,29.53,290.36,0.51
sobolevo,30,RU,1569033222,92,54.43,31.9,273.16,2.66
sisimiut,100,GL,1569033077,75,66.94,-53.67,278.46,10.09
palmer,40,AU,1569033222,58,-34.85,139.16,287.59,8.7
ushtobe,53,KZ,1569033222,25,45.25,77.98,297.86,3.25
dikson,100,RU,1569032733,86,73.51,80.55,275.96,9.97
chegdomyn,100,RU,1569033064,93,51.13,133.04,281.76,0.64
lerwick,0,GB,1569033223,93,60.15,-1.15,285.15,2.1
port elizabeth,1,US,1569033223,77,39.31,-74.98,292.15,2.1
bluff,50,AU,1569032727,39,-23.58,149.07,300.06,7.3
ust-kamchatsk,,,,,,,,
sholapur,,,,,,,,
tarudant,,,,,,,,
rio verde de mato grosso,63,BR,1569033223,58,-18.92,-54.84,300.66,2.57
malakal,,,,,,,,
turhal,75,TR,1569033223,76,40.38,36.08,285.37,7.2
saint-augustin,40,CA,1569033224,77,45.63,-73.98,293.15,1.5
bredasdorp,9,ZA,1569032724,87,-34.53,20.04,285.37,2.6
banda aceh,33,ID,1569033224,77,5.56,95.32,301.26,6.39
mahebourg,20,MU,1569032743,68,-20.41,57.7,294.15,3.6
